Wall time,Step,Value
1683240371.91621,21,-94.06082153320312
1683240465.8882496,50,-94.3248519897461
1683240605.2691915,94,-91.13508605957031
1683240726.4206817,130,-90.17556762695312
1683240903.028198,185,-89.95895385742188
1683240980.140945,207,-88.46003723144531
1683241103.4102404,245,-57.30556106567383
1683241282.40404,303,-53.98790740966797
1683241517.8630278,381,-21.903425216674805
1683241624.2418334,414,-5.348988056182861
1683241727.3998134,446,-31.83462142944336
1683241888.234763,498,-75.4073715209961
1683242037.5594435,546,-96.57112121582031
1683242195.1341095,597,-58.905914306640625
1683242281.6114905,623,-52.70204162597656
1683242365.1908245,648,-45.76142120361328
1683242419.9311411,663,-51.956844329833984
1683242607.1916916,724,-81.3864974975586
1683242661.8247168,739,-81.13345336914062
1683242853.4942665,802,-76.719970703125
1683242985.9945433,844,-78.31251525878906
1683243179.1008914,907,-83.5827407836914
1683243314.3721676,950,-81.1878433227539
1683243434.6322734,988,-66.22404479980469
1683243526.4552922,1016,-66.19213104248047
1683243615.3735304,1043,-62.05040740966797
1683243704.2755303,1070,-48.368568420410156
1683243871.0981069,1124,-44.34284591674805
1683243951.3299286,1148,-41.44150161743164
1683244025.8635476,1170,-55.53091049194336
1683244088.8548827,1188,-55.94032669067383
1683244229.7938995,1233,-70.62942504882812
1683244398.7289283,1288,-43.997650146484375
1683244539.2657983,1333,-55.10144805908203
1683244776.8044698,1412,-44.76311111450195
1683245049.04866,1503,-41.92985916137695
1683245235.247156,1564,-43.59077835083008
1683245318.290738,1589,-73.30583953857422
1683245447.6589825,1630,-65.70257568359375
1683245606.436766,1681,-64.80875396728516
1683245764.4085028,1732,-70.23971557617188
1683245824.4030037,1749,-62.2371940612793
1683246076.367368,1833,-26.411291122436523
1683246119.2563844,1844,-31.926498413085938
1683246193.8136897,1866,-23.15816307067871
1683246319.89631,1906,-54.85993194580078
1683246494.665655,1963,-55.657066345214844
1683246766.9675698,2054,-27.147022247314453
1683246921.4460142,2104,-9.361344337463379
1683247015.7616346,2133,-26.079364776611328
1683247118.5708275,2165,-25.492788314819336
1683247381.8109534,2253,-58.844181060791016
1683247584.791447,2320,-10.521895408630371
1683247776.756043,2383,-51.938438415527344
1683248062.7278776,2479,-73.38524627685547
1683248151.5015771,2506,-78.37574768066406
1683248337.9951093,2567,-69.23897552490234
1683248601.7154994,2655,-52.74065017700195
1683248822.334199,2728,-38.36184310913086
1683249126.099067,2830,5.1013031005859375
1683249581.8334146,2985,48.61338424682617
1683249779.6455653,3050,-22.027162551879883
1683250161.0361066,3179,21.681888580322266
1683250563.2525604,3315,-14.626019477844238
1683250789.7829063,3390,0.7679104208946228
1683251096.676372,3493,-85.48764038085938
1683251484.1094477,3624,0.4548821449279785
1683251619.0723085,3667,-68.74093627929688
1683251905.8550632,3763,-31.2648983001709
1683252166.355878,3850,-92.2178726196289
1683252438.2661848,3941,-2.1674304008483887
1683252750.668876,4046,-57.87556457519531
1683252991.6757965,4126,-3.929955005645752
1683253255.4150324,4214,7.8397536277771
1683253358.5277936,4246,-10.790570259094238
1683253536.043322,4304,-45.57988357543945
1683253863.8604178,4414,37.043949127197266
1683253993.4467854,4455,-10.601034164428711
1683254179.9962242,4516,-73.0816879272461
1683254404.050827,4590,-41.13218688964844
1683254713.7634232,4694,-22.589447021484375
1683254972.6690357,4780,11.925920486450195
1683255119.6548972,4827,-26.08415985107422
1683255361.3089046,4907,-36.66624450683594
1683255676.900037,5013,-4.649914264678955
1683255963.4515336,5109,24.482223510742188
