Wall time,Step,Value
1683802807.6250558,264,-53.99220657348633
1683805923.056043,867,-298.13360595703125
1683807468.2964075,1165,-165.73056030273438
1683809069.1374624,1473,-40.94319534301758
1683810512.0594285,1750,-275.37933349609375
1683810836.7926655,1811,-189.6898193359375
1683810883.4768844,1818,-172.9294891357422
1683813588.8486648,2340,-335.09857177734375
1683814915.5732849,2595,-30.70702362060547
1683815976.2974658,2798,-103.0186538696289
1683816264.8682024,2852,-102.4154281616211
1683817341.2194612,3058,-107.98432159423828
1683818413.1876519,3263,-102.48650360107422
1683819472.1304803,3466,-102.52295684814453
1683820533.5294464,3669,-102.68258666992188
1683821771.1118941,3906,-189.5150146484375
1683822831.9018462,4109,-102.89987182617188
1683824939.672151,4514,-387.5601501464844
1683827034.1145792,4916,-345.1964416503906
1683828101.5920298,5120,-104.4950180053711
1683828179.247469,5133,-104.18157196044922
1683828220.8863516,5139,-104.12013244628906
1683828252.1046607,5143,-104.12013244628906
1683831377.5551763,5744,-353.0077819824219
1683831408.8200684,5748,-342.77716064453125
1683832477.116374,5952,-104.70142364501953
1683832585.5543487,5971,-104.19397735595703
1683832637.3412204,5979,-104.11727905273438
1683833704.9811237,6183,-104.3590316772461
1683833741.4206395,6188,-104.34526062011719
1683833788.1864266,6195,-104.29789733886719
1683834856.0205462,6399,-102.27484893798828
1683835918.8575716,6602,-102.28941345214844
1683835981.031726,6612,-102.13623809814453
1683837070.2637782,6820,-106.74258422851562
1683838133.1408694,7023,-102.52743530273438
1683839211.75428,7229,-99.42723083496094
1683840280.0763836,7433,-102.16166687011719
1683840342.2488384,7443,-102.1076431274414
1683840383.836793,7449,-102.06478118896484
1683842489.1544423,7853,-331.1371154785156
1683842525.6005504,7858,-319.4324645996094
1683843597.7962484,8063,-102.23826599121094
1683844686.5387719,8271,-102.04151916503906
1683844717.7650347,8275,-102.04151916503906
1683844764.677327,8282,-102.02709197998047
1683844801.1233623,8287,-102.01429748535156
1683844842.7935617,8293,-101.98513793945312
1683844894.8710668,8301,-101.91626739501953
1683844936.6480846,8307,-101.89122772216797
1683846000.327009,8510,-102.16654205322266
1683846036.9196203,8515,-102.1630859375
1683847116.5537891,8721,-96.89411163330078
1683847158.4061768,8727,-99.35218811035156
1683848222.186574,8930,-102.04621124267578
1683849286.135471,9133,-102.03164672851562
1683849338.26677,9141,-102.00575256347656
1683850401.9833143,9344,-100.07154846191406
1683851476.660473,9549,-103.96935272216797
1683851518.4285238,9555,-103.95240020751953
1683852583.0018294,9758,-102.02786254882812
1683852635.1993222,9766,-101.97725677490234
1683852671.7789936,9771,-101.9557876586914
1683853746.3763776,9976,-102.09188842773438
1683853793.2969296,9983,-102.05115509033203
1683853824.6704693,9987,-102.05115509033203
1683853856.05589,9991,-102.05115509033203
1683853976.117847,10004,-102.02164459228516
1683854007.5125,10008,-102.02164459228516
1683854038.8400831,10012,-102.02164459228516
1683856134.5100968,10414,-313.14208984375
1683856165.9541,10418,-304.4438781738281
1683856202.504407,10423,-293.5673828125
1683856239.0816412,10428,-282.6897888183594
1683856286.0157387,10435,-267.43829345703125
1683856322.5621467,10440,-256.5410461425781
1683856374.6565266,10448,-239.0690460205078
1683856406.0228798,10452,-230.37083435058594
1683856442.496564,10457,-219.49298095703125
1683858535.6989276,10859,-328.64434814453125
1683858655.1656463,10880,-285.15032958984375
1683859728.788521,11085,-101.90299224853516
1683860791.6602316,11288,-102.3261947631836
1683860822.9788463,11292,-102.3261947631836
1683860864.6277878,11298,-102.3146743774414
1683860906.380903,11304,-102.29113006591797
1683860948.1333277,11310,-102.26716613769531
1683860989.8739445,11316,-102.25138092041016
1683862053.698649,11519,-101.88715362548828
1683862090.1703465,11524,-101.88595581054688
1683862131.9130855,11530,-101.85883331298828
1683862173.5959797,11536,-101.82646179199219
1683862204.9442842,11540,-101.82646179199219
1683862236.2310445,11544,-101.82646179199219
1683864336.8678677,11947,-279.92205810546875
1683864373.296339,11952,-270.7162170410156
1683865436.7045555,12155,-101.71794128417969
1683865468.0000303,12159,-101.71794128417969
1683865499.3493385,12163,-101.71794128417969
1683865541.0220008,12169,-101.7038345336914
1683865572.3684425,12173,-101.7038345336914
1683865603.7896092,12177,-101.7038345336914
1683865635.1274276,12181,-101.7038345336914
1683865671.7307484,12186,-101.70030975341797
1683865703.0645664,12190,-101.70030975341797
1683865739.6198537,12195,-101.69828033447266
1683865776.096035,12200,-101.67412567138672
1683865807.4411156,12204,-101.67412567138672
1683865838.746419,12208,-101.67412567138672
1683865880.3933527,12214,-101.64869689941406
1683865916.962503,12219,-101.6463394165039
1683865948.3095024,12223,-101.6463394165039
1683865984.8067446,12228,-101.63475799560547
1683866021.3055499,12233,-101.61067962646484
1683866063.0727773,12239,-101.58360290527344
1683866115.1204982,12247,-101.4417953491211
1683866151.6067965,12252,-101.43820190429688
1683866182.9556773,12256,-99.72026062011719
1683866214.3090296,12260,-99.72026062011719
1683867283.0146978,12464,-103.60193634033203
1683867314.3480868,12468,-103.60193634033203
1683867345.6043062,12472,-103.60193634033203
1683868450.5007422,12683,-104.19881439208984
1683868481.8981044,12687,-104.19881439208984
1683868518.4879003,12692,-104.19391632080078
1683868549.910494,12696,-104.19391632080078
1683868581.3479385,12700,-104.19391632080078
1683868612.6683965,12704,-104.19391632080078
1683868649.2360954,12709,-104.17958068847656
1683868680.6113882,12713,-104.17958068847656
1683868717.0831788,12718,-104.1555404663086
1683868748.4490533,12722,-104.1555404663086
1683868779.750431,12726,-104.1555404663086
1683869843.869687,12929,-101.84871673583984
1683869885.6960638,12935,-101.82109069824219
1683871982.9850562,13337,-265.588134765625
1683872014.340496,13341,-258.8086853027344
1683872045.7625024,13345,-252.02923583984375
1683872077.2217693,13349,-245.2498016357422
1683872108.6278594,13353,-238.47035217285156
1683873173.6747794,13556,-101.61248779296875
1683873205.058979,13560,-101.61248779296875
1683874269.5349598,13763,-102.50894165039062
1683874300.8643181,13767,-102.50894165039062
1683876398.9546113,14169,-272.6925048828125
1683876430.302717,14173,-265.7785949707031
1683876461.7927313,14177,-258.86468505859375
1683876493.1800046,14181,-251.95079040527344
1683876524.6606119,14185,-245.03688049316406
1683876556.0639362,14189,-238.1229705810547
1683876587.4258761,14193,-231.2090606689453
1683876618.8661563,14197,-224.29515075683594
1683876650.2824755,14201,-217.38124084472656
1683876681.671687,14205,-210.4673309326172
1683876713.1047416,14209,-203.5534210205078
1683876744.467808,14213,-196.63949584960938
1683876781.0433316,14218,-187.99313354492188
1683876812.423643,14222,-181.0792236328125
1683876843.8791795,14226,-174.16531372070312
1683876875.2467592,14230,-167.25140380859375
1683876906.7126596,14234,-160.3374786376953
1683876938.094888,14238,-153.42356872558594
1683876969.5012612,14242,-146.50965881347656
1683877000.824682,14246,-139.5957489013672
1683877032.292473,14250,-132.6818389892578
1683877068.9224224,14255,-124.02777862548828
1683877100.352043,14259,-117.1138687133789
1683878165.6141932,14462,-101.54603576660156
1683878196.9589312,14466,-101.54603576660156
1683878228.327694,14470,-101.54603576660156
1683878264.8745863,14475,-101.54192352294922
1683878296.3187854,14479,-101.54192352294922
1683878327.766294,14483,-101.54192352294922
1683878359.1188977,14487,-101.54192352294922
1683878390.5519385,14491,-101.54192352294922
1683878422.007052,14495,-101.54192352294922
1683878453.3810015,14499,-101.54192352294922
1683878484.862007,14503,-101.54192352294922
1683878516.279413,14507,-101.54192352294922
1683878552.8595061,14512,-101.5186996459961
1683878584.236522,14516,-101.5186996459961
1683880682.5632694,14918,-254.83631896972656
1683880713.9620526,14922,-248.58811950683594
1683880745.3119626,14926,-242.33993530273438
1683880776.717802,14930,-236.09173583984375
1683880808.0758333,14934,-229.84353637695312
1683880839.4579983,14938,-223.5953369140625
1683880870.7835772,14942,-217.34713745117188
1683880902.25809,14946,-211.09893798828125
1683880933.5951371,14950,-204.85073852539062
1683880964.9580812,14954,-198.6025390625
1683880996.441114,14958,-192.35433959960938
1683881027.8303623,14962,-186.1061553955078
1683881059.2409081,14966,-179.8579559326172
1683881090.643031,14970,-173.60975646972656
1683881122.0299878,14974,-167.36155700683594
1683881153.4176927,14978,-161.1133575439453
1683881184.7360506,14982,-154.8651580810547
1683881216.1092553,14986,-148.61695861816406
1683881247.5680227,14990,-142.36875915527344
1683881278.9104495,14994,-136.1205596923828
1683881310.2280636,14998,-129.87237548828125
1683881341.594915,15002,-123.6241683959961
1683881373.0075111,15006,-117.3759765625
1683881404.3891096,15010,-111.12777709960938
1683881435.823829,15014,-104.87957763671875
1683881467.238783,15018,-100.0
1683881498.551456,15022,-100.0
1683881529.9058352,15026,-100.0
1683881561.311755,15030,-100.0
1683881592.683967,15034,-100.0
1683881624.0526824,15038,-100.0
1683881655.4912028,15042,-100.0
1683881686.8577988,15046,-100.0
1683881718.165383,15050,-100.0
1683881749.57108,15054,-100.0
1683881780.970656,15058,-100.0
1683881812.347449,15062,-100.0
1683881843.7105634,15066,-100.0
1683881880.414093,15071,-99.99566650390625
1683881911.7983363,15075,-99.99566650390625
1683882977.2332604,15278,-101.50022888183594
1683883008.6358452,15282,-101.50022888183594
1683883040.021365,15286,-101.50022888183594
1683883071.386134,15290,-101.50022888183594
1683883102.8637214,15294,-101.50022888183594
1683883134.2216733,15298,-101.50022888183594
1683883165.6064208,15302,-101.50022888183594
1683883197.057427,15306,-101.50022888183594
1683883228.4740703,15310,-101.50022888183594
1683883259.9307692,15314,-101.50022888183594
1683883291.3470635,15318,-101.50022888183594
1683883322.7078547,15322,-101.50022888183594
1683883354.1527214,15326,-101.50022888183594
1683883385.5542395,15330,-101.50022888183594
1683883416.954382,15334,-101.50022888183594
1683883448.444681,15338,-101.50022888183594
1683883479.7900603,15342,-101.50022888183594
1683883511.189057,15346,-101.50022888183594
1683883542.5942488,15350,-101.50022888183594
1683883573.9934256,15354,-101.50022888183594
1683883605.3754046,15358,-101.50022888183594
1683883636.8354208,15362,-101.50022888183594
1683883668.3043892,15366,-101.50022888183594
1683883699.6848176,15370,-101.50022888183594
1683883731.0373716,15374,-101.50022888183594
1683883762.4219875,15378,-100.0
1683883793.8421445,15382,-100.0
1683883825.2653196,15386,-100.0
1683883856.584429,15390,-100.0
1683883888.012031,15394,-100.0
1683883919.4030952,15398,-100.0
1683883950.7758012,15402,-100.0
1683883982.225075,15406,-100.0
1683884013.5772312,15410,-100.0
1683884045.0123062,15414,-100.0
1683884076.4015138,15418,-100.0
1683884107.8007643,15422,-100.0
1683884139.203723,15426,-100.0
1683884170.636958,15430,-100.0
1683884201.9700124,15434,-100.0
1683884233.4514735,15438,-100.0
1683884264.8644135,15442,-100.0
1683884296.280869,15446,-100.0
1683884327.6948056,15450,-100.0
1683884364.2128913,15455,-99.97740936279297
1683884395.598751,15459,-99.97740936279297
1683884426.9725718,15463,-99.97740936279297
1683884458.3550932,15467,-99.97740936279297
1683884489.7405784,15471,-99.97740936279297
1683884521.108563,15475,-99.97740936279297
1683884552.4464297,15479,-99.97740936279297
1683884583.894134,15483,-99.97740936279297
1683884615.2920356,15487,-99.97740936279297
1683884646.7621803,15491,-99.97740936279297
1683884678.0993457,15495,-99.97740936279297
1683884709.4549649,15499,-99.97740936279297
1683884740.826515,15503,-99.97740936279297
1683884772.252191,15507,-99.97740936279297
1683884803.6258476,15511,-99.97740936279297
1683884845.4335983,15517,-99.96189880371094
1683884876.8201373,15521,-99.96189880371094
1683884908.1277654,15525,-99.96189880371094
1683884939.5450675,15529,-99.96189880371094
1683884970.873618,15533,-99.96189880371094
1683885002.2887352,15537,-99.96189880371094
1683885033.7013683,15541,-99.96189880371094
1683885065.0537236,15545,-99.96189880371094
1683885096.4231138,15549,-99.96189880371094
1683885127.8448517,15553,-99.96189880371094
1683885159.2868793,15557,-99.98448944091797
1683885190.753418,15561,-99.98448944091797
1683885222.1140838,15565,-99.98448944091797
1683885253.490271,15569,-99.98448944091797
1683885284.9050627,15573,-99.98448944091797
1683885316.3647187,15577,-99.98448944091797
